,Route,Direction,Stop,Model,RMSE,MAE
2,45A,1,3204,random forest,10.853620694512214,6.6278180609406085
0,65,2,2584,lin_reg,10.289162945382252,5.8987329091384835
1,65,2,2584,decision Tree,0.4648699026941799,0.08148716159050061
2,65,2,2584,random forest,5.6300733500537286,2.573730092201671
0,220,2,1609,lin_reg,18.11453095259711,13.584541191325092
1,220,2,1609,decision Tree,0.49654469146329183,0.04416619237336369
2,220,2,1609,random forest,9.190002376455146,5.631379244925061
0,38B,2,1696,lin_reg,22.456785188693722,17.348373951131894
1,38B,2,1696,decision Tree,2.155266921522882,0.3572453125764919
2,38B,2,1696,random forest,13.561075466403862,8.40751211631664
0,84,2,5135,lin_reg,11.367617931806352,3.9262006392938344
1,84,2,5135,decision Tree,0.1652349380849702,0.020893021763973677
2,84,2,5135,random forest,5.186381054399739,1.4133417824262366
0,67,2,3946,lin_reg,29.487181738008477,12.104848139931345
1,67,2,3946,decision Tree,1.6488340112764672,0.28778150821149595
2,67,2,3946,random forest,20.631026527682312,5.825826265144947
0,27,1,2310,lin_reg,50.06458272716001,37.28500497904967
1,27,1,2310,decision Tree,13.176617180385556,4.211933027855565
2,27,1,2310,random forest,28.12462954187601,17.999597542973806
0,31,2,579,lin_reg,47.62406111329231,29.474948900882765
1,31,2,579,decision Tree,4.622806775549994,0.8198716736279493
2,31,2,579,random forest,26.771887268085838,13.098644334641023
0,56A,2,2752,lin_reg,13.144694184771854,10.030621502930359
1,56A,2,2752,decision Tree,0.8561161150516315,0.12371758551272259
2,56A,2,2752,random forest,7.441509647654536,4.554259706598725
0,41B,2,5079,lin_reg,68.28205568717327,44.775239410534176
1,41B,2,5079,decision Tree,0.0,0.0
2,41B,2,5079,random forest,37.465074175099886,20.137773079633547
0,46A,2,792,lin_reg,68.59196642272042,48.51578792347766
1,46A,2,792,decision Tree,21.86551264423852,8.74685210627757
2,46A,2,792,random forest,37.08000462971968,23.42922771618294
0,7,2,3239,lin_reg,18.751481847051778,11.45812696938714
1,7,2,3239,decision Tree,3.5777633591891225,1.1168840091574395
2,7,2,3239,random forest,10.751307663624262,6.089618756316613
0,31A,2,583,lin_reg,33.330102766546,21.041943017603593
1,31A,2,583,decision Tree,0.1327288931029242,0.007163742690058481
2,31A,2,583,random forest,18.05477958445521,9.682204295460874
0,56A,1,2728,lin_reg,32.70017585104044,25.617212909032542
1,56A,1,2728,decision Tree,5.452316156056829,1.1230347057188037
2,56A,1,2728,random forest,18.150622650197942,11.277653356079888
0,185,1,4420,lin_reg,53.1874888025109,24.833182982143324
1,185,1,4420,decision Tree,2.9156539826326053,0.4798566308243728
2,185,1,4420,random forest,33.31177991460645,12.880576463560333
0,7A,1,408,lin_reg,63.00253124039629,46.95497823303339
1,7A,1,408,decision Tree,17.26716917298241,5.406524285979192
2,7A,1,408,random forest,35.00713359121192,22.217469036112615
0,77A,2,350,lin_reg,47.219756396836026,36.749422956161474
1,77A,2,350,decision Tree,15.335793136964483,5.353964876155616
