,Route,Direction,Stop,Max,Min
0,140,1,1537,1459.0,-153.0
0,77A,2,2430,309.0,-48.0
0,67X,1,3893,51.0,-30.0
0,56A,2,2775,705.0,-73.0
0,77A,1,1409,812.0,-479.0
0,41A,2,4922,265.0,-18.0
0,32,2,7569,1839.0,-543.0
0,238,1,7026,1408.0,-306.0
0,77A,2,2592,1069.0,-319.0
0,67X,1,1447,147.0,-122.0
0,66A,1,3365,136.0,-34.0
0,31,2,579,1671.0,-265.0
0,151,1,1500,1631.0,-359.0
0,9,2,1347,708.0,-641.0
0,33,1,3806,268.0,-84.0
0,16,1,1639,1484.0,-141.0
0,38B,2,1703,167.0,-38.0
0,56A,1,2742,109.0,-25.0
0,122,2,4498,827.0,-114.0
0,83A,1,4456,1141.0,-162.0
0,42,2,3605,4097.0,-3413.0
0,56A,2,2766,512.0,-40.0
0,54A,2,2635,184.0,-139.0
0,84,1,4257,98.0,-267.0
0,67,2,4408,1045.0,-51.0
0,145,2,325,1954.0,-743.0
0,79,1,2661,214.0,-29.0
0,116,2,908,95.0,-72.0
0,44,2,208,1327.0,-39.0
0,67,2,2236,561.0,-146.0
0,37,2,1688,333.0,-209.0
0,79A,2,2912,608.0,-77.0
0,39A,1,785,2096.0,-730.0
0,122,2,1430,194.0,-251.0
0,17A,2,131,140.0,-33.0
0,40,1,4938,1163.0,-184.0
0,76,1,2127,438.0,-57.0
0,44,2,3489,796.0,-273.0
0,130,1,1761,637.0,-237.0
0,43,2,1219,297.0,-35.0
0,38A,2,1699,104.0,-84.0
0,84A,2,4705,197.0,-104.0
0,66,1,493,1494.0,-143.0
0,47,1,3473,554.0,-194.0
0,42D,2,3634,112.0,-51.0
0,18,2,2101,624.0,-124.0
0,51X,2,2145,86.0,-20.0
0,38,2,7334,269.0,-42.0
0,38D,2,6059,263.0,-51.0
0,56A,2,2750,161.0,-62.0
0,33,1,1627,171.0,-75.0
0,66X,2,7049,222.0,-102.0
0,70D,2,1692,69.0,-16.0
0,184,1,4290,1929.0,-40.0
0,46A,1,4636,1551.0,-44.0
0,16,1,49,637.0,-864.0
0,31B,2,585,355.0,-848.0
0,104,1,222,177.0,-48.0
0,38,1,786,1531.0,-147.0
0,185,1,4416,192.0,-478.0
0,83A,1,2491,118.0,-2092.0
0,79A,2,2666,189.0,-24.0
0,65B,2,1157,997.0,-80.0
0,239,1,4603,1078.0,-289.0
0,47,2,393,546.0,-241.0
0,25B,2,7626,152.0,152.0
0,44B,1,2833,196.0,-41.0
0,120,1,4500,385.0,-264.0
0,41C,1,3711,677.0,-570.0
0,18,1,780,889.0,-106.0
0,38B,1,1808,509.0,-64.0
0,68,2,7665,2435.0,-495.0
0,66A,1,400,720.0,-335.0
0,83,2,2495,486.0,-237.0
0,79A,2,2718,2050.0,-390.0
0,14,2,1354,1319.0,-264.0
0,18,1,2182,239.0,-578.0
0,15,1,5190,2158.0,-554.0
0,41D,2,3689,-164.0,-164.0
0,40E,2,1584,255.0,-77.0
0,31A,2,610,116.0,-82.0
0,17A,2,961,348.0,-218.0
0,70,2,1847,1107.0,-545.0
0,54A,1,2385,2081.0,-205.0
0,75,2,2038,563.0,-985.0
0,47,2,2080,24.0,-23.0
0,75,2,2522,216.0,-125.0
0,116,1,2981,40.0,-53.0
0,47,2,4460,185.0,-162.0
0,76A,1,2200,126.0,-73.0
0,15D,2,1069,257.0,-53.0
0,185,1,4154,2800.0,-160.0
0,27B,2,1277,717.0,-614.0
0,65,2,2592,802.0,-76.0
0,104,2,1747,1446.0,-800.0
0,83,2,1552,822.0,-57.0
0,150,1,1096,208.0,-447.0
0,61,2,1311,233.0,-40.0
